Member,Concept Name,Description,Category,SAFETY,NAVIGATION,CAR-TO-CAR CONNECTIVITY,CLOUD TECHNOLOGY,COMFORT,LEISURE & ENTERTAINMENT,EXTERNAL SIGNAL,ENTRY & EXIT,PARKING,ALTERNATIVE CONTROL,VOICE PROGRAM,WARNING SYSTEM,IN-CAR COMMUNICATION,SCREEN & DISPLAYS,PORTABLE DEVICE CONNECTIVITY,ALTERNATIVE CONTROL,IN-CAR WIFI
1,No steering wheel control,"Instead of using steering wheel , user will use screen to control car ",ALTERNATIVE CONTROL,,,,,,,,,,1,,,,,,,
1,Mobile phone application for self driving,Control you car on a mobile phone app,ALTERNATIVE CONTROL,,,,,,,,,,1,,,,,,,
1,voice system,Control your car with a voice interface like siri ,ALTERNATIVE CONTROL,,,,,,,,,,1,,,,,,,
1,GPS self driving ,Advanced GPS navigation system,ALTERNATIVE CONTROL,,,,,,,,,,1,,,,,,,
1,self charging ,Car navigate itself to charging station( assume it is a electric car),ALTERNATIVE CONTROL,,,,,,,,,,1,,,,,,,
1,nearby car interaction ,Detect and connect nearby car,CAR-TO-CAR CONNECTIVITY,,,1,,,,,,,,,,,,,,
1,sleeping inside car,User can sleep inside a moving car ,COMFORT,,,,,1,,,,,,,,,,,,
1,undisturbed sensor ,Sensors can be used in any weather condition,NAVIGATION,,1,,,,,,,,,,,,,,,
1,machine learning  on car navigation ,Applied machine learning algorithm to train the navigation system of car ,NAVIGATION,,1,,,,,,,,,,,,,,,
1,self-parking,self-parking,PARKING,,,,,,,,,1,,,,,,,,
2,Hand Written Commands,"Inputs can be done through hand writing with a stylus, can be used to draw the preferred path",ALTERNATIVE CONTROL,,,,,,,,,,1,,,,,,,
2,Mouse and Keyboard Controls,Mouse/Keyboard like control system for easy uses input and possible system development usage,ALTERNATIVE CONTROL,,,,,,,,,,1,,,,,,,
2,Wireless Vehicular Piggybacking,"Wireless signal can piggyback off of other autonomous vehicles in areas where data connectivity is limited, like in tunnels or underground car parks",CAR-TO-CAR CONNECTIVITY,,,1,,,,,,,,,,,,,,
2,Autonomous Connectivity Display,"Program that can display on the UI which vehicles near you are autonomously or manually operated, provide information on which vehicles are connected to the car you are riding in",CAR-TO-CAR CONNECTIVITY,,,1,,,,,,,,,,,,,,
2,Automatic Entry/Exit,"Vehicle uses active suspension and doors to allow for ease of entry and exit, such as lowering the car for entry and exit, deploying a ramp or seats that swivel out",ENTRY & EXIT,,,,,,,,1,,,,,,,,,
2,Automatic Luggage Collection,System that can automatically pick up luggage and place it into the trunk,ENTRY & EXIT,,,,,,,,1,,,,,,,,,
2,Exterior Lighting Signal,"Lights outside the vehicle that show its status (i.e. occupied, connected, available, manually controlled, etc.)",EXTERNAL SIGNAL,,,,,,,1,,,,,,,,,,
2,Reclining Seats/Rood Display,Seats that recline paired with a roof mounted display that can display entertainment or system information,LEISURE & ENTERTAINMENT,,,,,,1,,,,,,,,,,,
2,Entrance/Exit Path-finding,Include entrances and exits to buildings in the system's path-finding so it can pick people up at the door,NAVIGATION,,1,,,,,,,,,,,,,,,
2,Interior Panoramic Display,"Large panoramic display that runs along the interior, they can used to show instructions and warnings",SCREEN & DISPLAYS,,,,,,,,,,,,,,1,,,
3,Extra Control System,"When emergencies occur, people can use extra control system to control the car and protect themselves from bad accident. People will feel safe if they can control cars. ",ALTERNATIVE CONTROL,,,,,,,,,,1,,,,,,,
3,WIFI System,WIFI system provide people with chance to surf the Internet more flexible and they can use this system to communicate with other cars.,CAR-TO-CAR CONNECTIVITY,,,1,,,,,,,,,,,,,,
3,Sync Information System,"Through this system, vehicles are able to collect road information like traffic accident, parking space and etc., and sync information to computer and cloud to help to optimize route. ",CLOUD TECHNOLOGY,,,,1,,,,,,,,,,,,,
3,Sofa Chair,Sofa chair is able to become a bed when people want to sleep in the car and the angle of seats can be controlled well,COMFORT,,,,,1,,,,,,,,,,,,
3,Communication System,People can chat with their family members while they are on the road via the vehicle's communication system. And thus they will feel safe and relaxed.,IN-CAR COMMUNICATION,,,,,,,,,,,,,1,,,,
3,Entertainment Device,"Allow people to kill their time in the car like play games, watching videos and etc. while people needn't pay all  of their attention to driving",LEISURE & ENTERTAINMENT,,,,,,1,,,,,,,,,,,
3,Windows Curtain,Be able to help people sleep better in the car,LEISURE & ENTERTAINMENT,,,,,,1,,,,,,,,,,,
3,Swivel Seats,Seats of our autonomous vehicles are able to rotate any angle and people can chat or even play cards with their friends in the car face to face.,LEISURE & ENTERTAINMENT,,,,,,1,,,,,,,,,,,
3,Windows Display System,"Windows of autonomous vehicles are able to become display screen when people need and they can use their fingers to control the ""windows screens"".",SCREEN & DISPLAYS,,,,,,,,,,,,,,1,,,
3,Voice Interaction System,"Considering our potential customers may include disabled people, so our autonomous vehicles will not only be controlled by inputing words through dashboard, but also by voice or some other kinds of information. And it can chat with you like Siri.",VOICE PROGRAM,,,,,,,,,,,1,,,,,,
4,Gesture Control Over Navigation System,Allow user to inform the vehicle to make a right or left turn by waiving his/her hand to that direction within certain space in the vehicle.,ALTERNATIVE CONTROL,,,,,,,,,,1,,,,,,,
4,Remote Control Over the Vehicle,User can assign someone to control the vehicle remotely on a laptop or smartphone.,ALTERNATIVE CONTROL,,,,,,,,,,1,,,,,,,
4,Brake Control Over the Vehicle,User can apply brake on the vehicle to slow it down when from the user’s perspective there is a danger. The vehicle would optimize the best riding quality when slowing down.,ALTERNATIVE CONTROL,,,,,,,,,,1,,,,,,,
4,One-button Parking Request,"When user is getting off the vehicle, he/she is able to press a single button to inform the vehicle to park itself.",PARKING,,,,,,,,,1,,,,,,,,
4,Autonomous Parking System,"When user gets off the vehicle and there is no one on the vehicle for 15 seconds, the vehicle would park itself without any further instruction from the user.",PARKING,,,,,,,,,1,,,,,,,,
4,Voice Control Over Navigation System,User can “speak” to the vehicle to inform the destination of change of route.,VOICE PROGRAM,,,,,,,,,,,1,,,,,,
4,Video Call Projection for Visualizing Communication,Allow use to make a video call in car and project the video call image on the windshield so that user can see his/her family.,IN-CAR COMMUNICATION,,,,,,,,,,,,,1,,,,
4,3D Projection for Visualizing Communication,Use 3D projection technique to project such user’s calling person under the windshield when such user is on a phone call.,IN-CAR COMMUNICATION,,,,,,,,,,,,,1,,,,
4,Human-vehicle Communication through Smartphone Apps,"When user is about to get on the car, he/she can simply click on a smartphone app to notify the vehicle to come over.",PORTABLE DEVICE CONNECTIVITY,,,,,,,,,,,,,,,1,,
4,Human-vehicle Communication through Wearable Devices,"When user is about to get on the car, he/she can simply click on a wearable device to notify the vehicle to come over.",PORTABLE DEVICE CONNECTIVITY,,,,,,,,,,,,,,,1,,
4,Higher price service,Price the services at a higher price to increase users’ sense of safety toward the product.,SAFETY,1,,,,,,,,,,,,,,,,
4,One person per car policy,Put only one person in each car to reduct the fear of co-riding with strangers,SAFETY,1,,,,,,,,,,,,,,,,
4,Slow down the vehicle with one button,One single button to slow down the vehicle while still in autonomous driving mode,SAFETY,1,,,,,,,,,,,,,,,,
4,Vehicle to vehicle communication,Allow people in different cars to communicate with each other,CAR-TO-CAR CONNECTIVITY,,,1,,,,,,,,,,,,,,
4,Comfortable light in car,User comfortable light color in car (soft),COMFORT,,,,,1,,,,,,,,,,,,
4,Share riding with drivers,Share the ride with someone who can drive to take over the control of the vehicle when necessary,SAFETY,1,,,,,,,,,,,,,,,,
4,Share riding with people/family,Have someone sit in the autonomous driving vehicle with them in the first couple times,SAFETY,1,,,,,,,,,,,,,,,,
4,Photo taking with one button,One single button to take a photo in car and outside the car,LEISURE & ENTERTAINMENT,,,,,,1,,,,,,,,,,,
4,Product go first,Have autonomous driving vehicles deliver products first,SAFETY,1,,,,,,,,,,,,,,,,
4,Real time monitoring system,Have a real-time camera around the vehicle all the time,SAFETY,1,,,,,,,,,,,,,,,,
4,Improved monitoring system,Attach a drone to the vehicle to capture more on-road situation,SAFETY,1,,,,,,,,,,,,,,,,
4,Convenience feature,Equip the vehicle with tables for working or eating,LEISURE & ENTERTAINMENT,,,,,,1,,,,,,,,,,,
5,Remote control system,"Users can control the car from any distance by phone. Such as ""call"" the car to pick them up at their location",ALTERNATIVE CONTROL,,,,,,,,,,1,,,,,,,
5,measure sensor,measure distance between own car and other cars_traffic lights or other obstacle,CAR-TO-CAR CONNECTIVITY,,,1,,,,,,,,,,,,,,
5,Date storage system,"Autonomous driving data can be uploaded into the cloud, so company can detect the safety of autonomous car from these data",CLOUD TECHNOLOGY,,,,1,,,,,,,,,,,,,
5,Fold chair ,The form of chair can be changed from normal back-rest to deck chair and bed,COMFORT,,,,,1,,,,,,,,,,,,
5,Sport pedal ,There are two pedals under the steering wheel. Drivers can use these to exercise and the energy can be converted into electrical power ,LEISURE & ENTERTAINMENT,,,,,,1,,,,,,,,,,,
5,Controllable window,The color and transparency of windows can be changed and the image of computer screen can be displayed on windows ,NAVIGATION,,1,,,,,,,,,,,,,,,
5,Driving map,Show driving routine and real building feature around path. Highlight different function in different color,SCREEN & DISPLAYS,,,,,,,,,,,,,,1,,,
5,Car computer ,The screen of computer is installed at the steering wheel. Car driver can either use it by voice command or finger,SCREEN & DISPLAYS,,,,,,,,,,,,,,1,,,
5,Voice control,Users can control the car with their voice,VOICE PROGRAM,,,,,,,,,,,1,,,,,,
5,Alert system ,"If there is some problem with the car, there will be an alert and the car cannot be started",WARNING SYSTEM,,,,,,,,,,,,1,,,,,
6,Intelligent assistant system,The robotic embedded in the vehicle system can help driver execute related actions,ALTERNATIVE CONTROL,,,,,,,,,,1,,,,,,,
6,Automated Emergency calling system,The car will contact police department and other related department when the passenger has  any emergency,CLOUD TECHNOLOGY,,,,1,,,,,,,,,,,,,
6,Interior roof screen,"When the driver lay on the seat, he or she can still see the screen",COMFORT,,,,,1,,,,,,,,,,,,
6,Vehicle flexible interior floor,The floor of interior is embedded with chairs,COMFORT,,,,,1,,,,,,,,,,,,
6,Disable special seat mechanism,Can help disables get on the car easily,ENTRY & EXIT,,,,,,,,1,,,,,,,,,
6,Self Parking service,The car can self park,PARKING,,,,,,,,,1,,,,,,,,
6,Touch screen with personal laptop connection,The screen on the car can connect into personal laptop,SCREEN & DISPLAYS,,,,,,,,,,,,,,1,,,
6,Movable screen mechanism,The screen on the car can change the angle,SCREEN & DISPLAYS,,,,,,,,,,,,,,1,,,
6,Traffic light warning system,The signal on the dashboard can identify whether the care sensed the traffic light,WARNING SYSTEM,,,,,,,,,,,,1,,,,,
6,Traffic condition warning,This warning signal can tell the driver the traffic situation ahead,WARNING SYSTEM,,,,,,,,,,,,1,,,,,
6,Digitalization integration system,"The vehicle can connect to user's phone, laptop and other electronics device",IN-CAR COMMUNICATION,,,,,,,,,,,,,1,,,,
6,Obstacle warning system,The car will warn the user for the unavoidable obstacles,SAFETY,1,,,,,,,,,,,,,,,,
6,Emergency Warning,The car will warn the user to be prepared for the unavoidable accident,SAFETY,1,,,,,,,,,,,,,,,,
6,Low Battery Warning,The car will warn the user for the low battery,SAFETY,1,,,,,,,,,,,,,,,,
6,Sensor Failure Warning,The car will warn the user for the malfunction of the sensors,SAFETY,1,,,,,,,,,,,,,,,,
6,Maintenance warning,The car will warn the user for the necessary maintenance ,SAFETY,1,,,,,,,,,,,,,,,,
6,Flexible seating mechanism,The seats of the car can change the shape to better fit the users,LEISURE & ENTERTAINMENT,,,,,,1,,,,,,,,,,,
6,Projector Screen,The car can project the laptop screen at certain area,LEISURE & ENTERTAINMENT,,,,,,1,,,,,,,,,,,
6,Smart HVAC system,The car will turn on or off the HVAC before the user step into the car,LEISURE & ENTERTAINMENT,,,,,,1,,,,,,,,,,,
6,Recording system,The car will save all the enviornment data into centern computer,SAFETY,1,,,,,,,,,,,,,,,,